,sentimen,tweet,tweet_length,clean_tweet,polarity_score,polarity,clean_tweet_sentence
0,negatif,"Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini ðŸ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðŸ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21Â â€¦",20,"['prabowo', 'indonesia', 'tidak', 'harga', 'bangsa', 'asing', 'berita', 'titik', 'isu bohong', 'buat', 'kuasa', 'iya', 'rockygerung', 'lidah', '']",-3,negatif,prabowo indonesia tidak harga bangsa asing berita titik isu bohong buat kuasa iya rockygerung lidah 
1,netral,"Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZVÂ ",12,"['batu', 'langka', 'tasbih', 'jokowi', 'hadiah', 'habib', 'luthfi', 'harga', 'mercy']",-8,negatif,batu langka tasbih jokowi hadiah habib luthfi harga mercy
2,netral,"Di era Jokowi, ekonomi Indonesia semakin baik. #01IndonesiaMaju #JokowiLagi #JokowiMenangTotalDebat pic.twitter.com/W2ythnxsTp",11,"['era', 'jokowi', 'ekonomi', 'indonesia']",0,netral,era jokowi ekonomi indonesia
3,positif,"Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!",17,"['sumatera', 'selatan', 'asian', 'games', 'dampak', 'ekonomi', 'langsung', 'prediksi', 'capai', 'triliun', 'indonesia', 'maju', 'jokowi', 'hebat']",-5,negatif,sumatera selatan asian games dampak ekonomi langsung prediksi capai triliun indonesia maju jokowi hebat
4,negatif,"Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak",35,"['negara', 'ngutang', 'bangun', 'infrastruktur', 'pakai', 'masyarakat', 'masyarakat', 'keluh', 'negara', 'ngutang', 'negara', 'ngutang', 'utang', 'bayar', 'negara', 'hasil', 'hasil', 'negara', 'iya', 'pajak']",-7,negatif,negara ngutang bangun infrastruktur pakai masyarakat masyarakat keluh negara ngutang negara ngutang utang bayar negara hasil hasil negara iya pajak
5,netral,"Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi",39,"['bisikin', 'jokowi', 'pikir', 'putar', 'duit', 'golong', 'esports', 'sekian', 'tentu', 'tumbuh', 'ekonomi', 'indonesia', 'fundamental', 'prabowo', 'bahas', 'sederhana', 'mrpkan', 'aspek', 'fundamental', 'ekonomi']",-31,negatif,bisikin jokowi pikir putar duit golong esports sekian tentu tumbuh ekonomi indonesia fundamental prabowo bahas sederhana mrpkan aspek fundamental ekonomi
6,positif,Masa tenang msih ngoceh aja..ttp jokowi harga mati...,8,"['tenang', 'masih', 'oceh', 'jokowi', 'harga', 'mati']",3,positif,tenang masih oceh jokowi harga mati
7,positif,"#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS",17,"['kerjasa', 'ekonomi', 'bilateral', 'multilateral', 'doa', 'tps', 'dengar', 'suara', 'hati']",-2,negatif,kerjasa ekonomi bilateral multilateral doa tps dengar suara hati
8,netral,"Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi ðŸ˜‚ & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & JumatanðŸ™ðŸ‘",45,"['iya', 'a', 'mantap', 'pilih', 'pimpin', 'solusi', 'jokowi', 'salah', 'pimpin', 'sbyudhoyono', 'dismash', 'mas', 'bowo', 'koalisi', 'kalau', 'mengantam', 'teman', 'koalisi', 'sedih', 'pilih', 'pimpin', 'rajin', 'ibadah', 'wajib', 'aji', 'jumat', 'doa', 'jempol']",-2,negatif,iya a mantap pilih pimpin solusi jokowi salah pimpin sbyudhoyono dismash mas bowo koalisi kalau mengantam teman koalisi sedih pilih pimpin rajin ibadah wajib aji jumat doa jempol
9,negatif,Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ .. ... #GoAceh,14,"['prabowosandi', 'sepakat', 'tidak', 'ambil', 'gaji', 'negara', 'susah', '']",-13,negatif,prabowosandi sepakat tidak ambil gaji negara susah 
